bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,label
2_1851734740_268175,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/bindresvport.blacklist'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268183,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/cron.d/e2scrub_all'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268191,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/cron.daily/apt-compat'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268195,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/cron.daily/dpkg'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268199,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/debconf.conf'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268203,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/debian_version'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268211,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/default/nss'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268215,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/default/useradd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268219,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/deluser.conf'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268227,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/dpkg/dpkg.cfg'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268235,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/dpkg/dpkg.cfg.d/docker-apt-speedup'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268239,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/dpkg/dpkg.cfg.d/excludes'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268247,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/dpkg/origins/debian'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268254,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/dpkg/origins/ubuntu'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268258,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/e2scrub.conf'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268262,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/environment'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268266,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/fstab'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268270,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/gai.conf'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268274,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/group'],"['/usr/bin/docker-runc', '/usr/bin/dockerd', '/usr/bin/bash']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]","['perm_check', 'getattr', 'read', 'open']",['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']","['-xmf', 'groups', 'inf', 'ls', 'bash', '-d', '-C', '/test1/zzz', '/bin/sleep', '-', 'tar', '/test1', 'test']",801,0,0
2_1851734740_268278,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/gshadow'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
