bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,label,,priviledged_flow
22_9300560_380791,file,"['/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.client-revoked.ke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.client-revoked.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_380796,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.client.ke', '/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.client.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_380811,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.server.ke', '/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.server.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_380829,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-alt-ca.ke', '/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-alt-ca.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_380834,file,"['/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-bad-root-ca.ke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-bad-root-ca.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_380839,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-fake-root-ca.ke', '/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-fake-root-ca.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_380844,file,"['/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-root-ca.ke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-root-ca.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_380849,file,"['/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-signing-ca.ke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.ssl.test-signing-ca.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_380868,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.tls-testing.keys.server.server-mitm.ke', '/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.tls-testing.keys.server.server-mitm.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_380873,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.tls-testing.keys.server.server.ke', '/root/exploit/host_files/private_keys/home.vagrant.paho.mqtt.c.test.tls-testing.keys.server.server.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381615,file,"['/root/exploit/host_files/private_keys/etc.kubernetes.pki.apiserver-etcd-client.ke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.apiserver-etcd-client.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381620,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.apiserver-kubelet-client.ke', '/root/exploit/host_files/private_keys/etc.kubernetes.pki.apiserver-kubelet-client.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381625,file,"['/root/exploit/host_files/private_keys/etc.kubernetes.pki.apiserver.ke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.apiserver.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381630,file,"['/root/exploit/host_files/private_keys/etc.kubernetes.pki.ca.ke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.ca.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381635,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.etcd.ca.ke', '/root/exploit/host_files/private_keys/etc.kubernetes.pki.etcd.ca.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381640,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.etcd.healthcheck-client.ke', '/root/exploit/host_files/private_keys/etc.kubernetes.pki.etcd.healthcheck-client.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381645,file,"['/root/exploit/host_files/private_keys/etc.kubernetes.pki.etcd.peer.ke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.etcd.peer.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381650,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.etcd.server.ke', '/root/exploit/host_files/private_keys/etc.kubernetes.pki.etcd.server.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381655,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.front-proxy-ca.ke', '/root/exploit/host_files/private_keys/etc.kubernetes.pki.front-proxy-ca.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381660,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.front-proxy-client.ke', '/root/exploit/host_files/private_keys/etc.kubernetes.pki.front-proxy-client.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_381665,file,"['/root/exploit/host_files/private_keys/etc.kubernetes.pki.sa.ke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/etc.kubernetes.pki.sa.ke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],5,1,1,,1
22_9300560_437402,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/usr/local/lib/python3.7/encodings/__pycache__/cp1252.cpython-37.pyc', '/usr/local/lib/python3.7/encodings/__pycache__/cp1252.cpython-37.pyc', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/usr/local/lib/python3.7/encodings/__pycache__/cp1252.cpython-37.pyc.140143747539472', '/usr/local/lib/python3.7/encodings/__pycache__/cp1252.cpython-37.pyc.140143747539472']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['rename', 'write']","['python', 'find_sensitive_files.py']",[],3,1,1,,1
22_9300560_46188,process_memory,['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['memory_read', 'ptrace_read']",['memory_write'],[],[],4,0,0,,0
22_9300560_563143,file,"['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/private_keys/usr.share.dns.root.ke', '/root/exploit/host_files/private_keys/usr.share.dns.root.ke']",['/usr/bin/kubelet'],"['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],1,1,1,,1
22_9300560_64581,file,['/xtables.lock'],"['/usr/bin/kubelet', '/usr/local/bin/kube-proxy']","['/usr/bin/kubelet', '/usr/local/bin/kube-proxy']","[0, 0, 0, 0, 0]","['perm_check', 'open']",['file_lock'],"['--mark', 'PREROUTING', 'KUBE-MARK-MASQ', '5', 'INPUT', 'kubernetes externally-visible service portals', '-j', 'kubernetes service portals', 'nat', '--set-xmark', 'conntrack', 'MARK', 'NEW', '-N', 'KUBE-FORWARD', '--ctstate', 'KUBE-FIREWALL', 'DROP', '0x00004000/0x00004000', 'MASQUERADE', 'KUBE-EXTERNAL-SERVICES', '-t', 'KUBE-POSTROUTING', 'mark', 'kubernetes forwarding rules', 'iptables', '0x00008000/0x00008000', '--comment', 'kubernetes postrouting rules', 'FORWARD', '-m', 'comment', '-C', 'kubernetes firewall for dropping marked packets', 'KUBE-SERVICES', 'kubernetes service traffic requiring SNAT', 'KUBE-MARK-DROP', '-w', 'POSTROUTING', 'filter', 'OUTPUT']","['--mark', 'PREROUTING', 'KUBE-MARK-MASQ', '5', 'INPUT', 'kubernetes externally-visible service portals', '-j', 'kubernetes service portals', 'nat', '--set-xmark', 'conntrack', 'MARK', 'NEW', '-N', 'KUBE-FORWARD', '--ctstate', 'KUBE-FIREWALL', 'DROP', '0x00004000/0x00004000', 'MASQUERADE', 'KUBE-EXTERNAL-SERVICES', '-t', 'KUBE-POSTROUTING', 'mark', 'kubernetes forwarding rules', 'iptables', '0x00008000/0x00008000', '--comment', 'kubernetes postrouting rules', 'FORWARD', '-m', 'comment', '-C', 'kubernetes firewall for dropping marked packets', 'KUBE-SERVICES', 'kubernetes service traffic requiring SNAT', 'KUBE-MARK-DROP', '-w', 'POSTROUTING', 'filter', 'OUTPUT']",292,1,0,,1
,,,,,,,,,,,,,,
,,,,,,,,,,,44,,,
