bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,label,,priviledged_flow
22_9300560_142942,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['memory_read'],"['memory_write', 'clone_mem']",[],[],1,1,0,,0
22_9300560_142945,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['--log-format', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/log.json', 'docker-runc', '--root', 'json', '--bundle', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/init.pid', '/var/run/docker/runtime-runc/moby', 'create', '--log', 'f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d', '--pid-file']",3,1,0,,1
22_9300560_142960,process_memory,['/usr/bin/docker-runc'],['/usr/bin/dockerd'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],1,1,0,,1
22_9300560_143117,process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],"['exec_task', 'clone_mem', 'memory_write']",[],[],1,0,0,,0
22_9300560_143306,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['--log-format', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/log.json', 'docker-runc', 'state', '--root', 'json', '--bundle', 'start', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/init.pid', '/var/run/docker/runtime-runc/moby', 'create', '--log', 'f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d', '--pid-file']",5,1,0,,1
22_9300560_143411,process_memory,['/usr/bin/docker-runc'],"['/usr/bin/kubelet', '/usr/bin/docker-containerd-shim', '/opt/cni/bin/flannel', '/usr/bin/docker-runc']",['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem', 'exec_task']",[],"['-F', '/usr/bin/nsenter', 'json', '--net=/proc/5735/ns/net', '--log', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/log.json', 'addr', 'ip', '--', 'scope', '/opt/cni/bin/bridge', '--log-format', '--root', '/var/run/docker/runtime-runc/moby', 'f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d', 'state', 'docker-runc', 'dev', '/opt/cni/bin/loopback', '-4', 'show', '-o', 'eth0', 'global']",12,1,0,,1
22_9300560_143476,process_memory,['/usr/bin/kubelet'],['/usr/bin/kubelet'],"['/usr/bin/kubelet', '/usr/bin/docker-runc']","[0, 0, 0, 0, 0]",['memory_read'],"['exec_task', 'memory_write', 'clone_mem']",['/pause'],[],3,0,0,,0
22_9300560_143504,socket,[],['/usr/bin/kubelet'],['/usr/bin/kubelet'],"[0, 0, 0, 0, 0]",['receive_msg'],"['bind', 'send_msg', 'socket_create']",['/opt/cni/bin/loopback'],['/opt/cni/bin/loopback'],1,0,0,,0
22_9300560_143542,process_memory,['/opt/cni/bin/flannel'],"['/opt/cni/bin/flannel', '/opt/cni/bin/bridge']","['/usr/bin/docker-runc', '/opt/cni/bin/flannel']","[0, 0, 0, 0, 0]",['memory_read'],"['memory_write', 'clone_mem', 'exec_task']",['/pause'],[],15,0,0,,0
22_9300560_143609,process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],2,0,0,,0
22_9300560_143622,file,"['/systemd/netif/links/.#82e3C36', '/systemd/netif/links/8']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'read', 'getattr', 'open']","['rename', 'write']",[],[],32,0,0,,0
22_9300560_143626,file,"['/systemd/netif/.#stateNSCo31', '/systemd/netif/state']",['/bin/networkctl'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]",['perm_check'],"['rename', 'write']",[],[],1,0,0,,0
22_9300560_143631,file,"['/systemd/netif/links/.#88TNb3W', '/systemd/netif/links/8']","['/lib/systemd/systemd-resolved', '/usr/bin/python3.6']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'read', 'getattr', 'open']","['rename', 'write']",[],"['--no-legend', '--no-pager', 'list', '/bin/networkctl']",296,0,0,,0
22_9300560_144017,file,"['/systemd/netif/links/.#8imRg8M', '/systemd/netif/links/8']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'read', 'getattr', 'open']","['rename', 'write']",[],[],44,0,0,,0
